Car number: 0| Current Position: 112| Pending Pick: []| Pending Drop: []
Car number: 1| Current Position: 47| Pending Pick: []| Pending Drop: []
Car number: 2| Current Position: 182| Pending Pick: []| Pending Drop: []
Car number: 3| Current Position: 40| Pending Pick: []| Pending Drop: []
Car number: 4| Current Position: 166| Pending Pick: []| Pending Drop: []
Car number: 5| Current Position: 80| Pending Pick: []| Pending Drop: []
Car number: 6| Current Position: 26| Pending Pick: []| Pending Drop: []
Car number: 7| Current Position: 161| Pending Pick: []| Pending Drop: []
Car number: 8| Current Position: 89| Pending Pick: []| Pending Drop: []
Car number: 9| Current Position: 186| Pending Pick: []| Pending Drop: []
Car number: 10| Current Position: 178| Pending Pick: []| Pending Drop: []
Car number: 11| Current Position: 199| Pending Pick: []| Pending Drop: []
Car number: 12| Current Position: 164| Pending Pick: []| Pending Drop: []
Car number: 13| Current Position: 17| Pending Pick: []| Pending Drop: []
Car number: 14| Current Position: 178| Pending Pick: []| Pending Drop: []
Car number: 15| Current Position: 170| Pending Pick: []| Pending Drop: []
Car number: 16| Current Position: 158| Pending Pick: []| Pending Drop: []
Car number: 17| Current Position: 94| Pending Pick: []| Pending Drop: []
Car number: 18| Current Position: 199| Pending Pick: []| Pending Drop: []
Car number: 19| Current Position: 124| Pending Pick: []| Pending Drop: []
Car number: 20| Current Position: 114| Pending Pick: []| Pending Drop: []
Car number: 21| Current Position: 27| Pending Pick: []| Pending Drop: []
Car number: 22| Current Position: 4| Pending Pick: []| Pending Drop: []
Car number: 23| Current Position: 53| Pending Pick: []| Pending Drop: []
Car number: 24| Current Position: 184| Pending Pick: []| Pending Drop: []
Car number: 25| Current Position: 110| Pending Pick: []| Pending Drop: []
Car number: 26| Current Position: 171| Pending Pick: []| Pending Drop: []
Car number: 27| Current Position: 77| Pending Pick: []| Pending Drop: []
Car number: 28| Current Position: 155| Pending Pick: []| Pending Drop: []
Car number: 29| Current Position: 39| Pending Pick: []| Pending Drop: []
