Pick up: 188| Drop off: 24| Hour/Min/Sec: 0:0:00
Pick up: 61| Drop off: 86| Hour/Min/Sec: 0:0:00
Pick up: 25| Drop off: 143| Hour/Min/Sec: 0:0:00
Pick up: 96| Drop off: 14| Hour/Min/Sec: 0:1:00
Pick up: 132| Drop off: 74| Hour/Min/Sec: 0:1:00
Pick up: 11| Drop off: 16| Hour/Min/Sec: 0:2:00
Pick up: 138| Drop off: 20| Hour/Min/Sec: 0:2:00
Pick up: 62| Drop off: 89| Hour/Min/Sec: 0:3:00
Pick up: 199| Drop off: 189| Hour/Min/Sec: 0:3:00
Pick up: 101| Drop off: 63| Hour/Min/Sec: 0:4:00
Pick up: 126| Drop off: 179| Hour/Min/Sec: 0:5:00
Pick up: 128| Drop off: 150| Hour/Min/Sec: 0:5:00
Pick up: 73| Drop off: 35| Hour/Min/Sec: 0:6:00
Pick up: 169| Drop off: 103| Hour/Min/Sec: 0:6:00
Pick up: 0| Drop off: 140| Hour/Min/Sec: 0:6:00
Pick up: 146| Drop off: 156| Hour/Min/Sec: 0:7:00
Pick up: 100| Drop off: 37| Hour/Min/Sec: 0:8:00
Pick up: 71| Drop off: 157| Hour/Min/Sec: 0:8:00
Pick up: 18| Drop off: 199| Hour/Min/Sec: 0:9:00
Pick up: 110| Drop off: 193| Hour/Min/Sec: 0:9:00
Pick up: 119| Drop off: 56| Hour/Min/Sec: 0:9:00
Pick up: 38| Drop off: 25| Hour/Min/Sec: 0:9:00
Pick up: 111| Drop off: 136| Hour/Min/Sec: 0:9:00
Pick up: 30| Drop off: 100| Hour/Min/Sec: 0:10:00
Pick up: 98| Drop off: 149| Hour/Min/Sec: 0:11:00
Pick up: 84| Drop off: 80| Hour/Min/Sec: 0:11:00
Pick up: 130| Drop off: 53| Hour/Min/Sec: 0:12:00
Pick up: 186| Drop off: 151| Hour/Min/Sec: 0:13:00
Pick up: 148| Drop off: 120| Hour/Min/Sec: 0:13:00
Pick up: 137| Drop off: 105| Hour/Min/Sec: 0:14:00
Pick up: 102| Drop off: 12| Hour/Min/Sec: 0:14:00
Pick up: 194| Drop off: 20| Hour/Min/Sec: 0:15:00
Pick up: 155| Drop off: 70| Hour/Min/Sec: 0:17:00
Pick up: 66| Drop off: 188| Hour/Min/Sec: 0:17:00
Pick up: 145| Drop off: 177| Hour/Min/Sec: 0:17:00
Pick up: 18| Drop off: 199| Hour/Min/Sec: 0:18:00
Pick up: 175| Drop off: 101| Hour/Min/Sec: 0:19:00
Pick up: 102| Drop off: 7| Hour/Min/Sec: 0:21:00
Pick up: 129| Drop off: 82| Hour/Min/Sec: 0:22:00
Pick up: 1| Drop off: 185| Hour/Min/Sec: 0:23:00
Pick up: 122| Drop off: 189| Hour/Min/Sec: 0:23:00
Pick up: 107| Drop off: 67| Hour/Min/Sec: 0:24:00
Pick up: 118| Drop off: 189| Hour/Min/Sec: 0:24:00
Pick up: 161| Drop off: 61| Hour/Min/Sec: 0:24:00
Pick up: 54| Drop off: 143| Hour/Min/Sec: 0:25:00
Pick up: 33| Drop off: 130| Hour/Min/Sec: 0:26:00
Pick up: 5| Drop off: 164| Hour/Min/Sec: 0:27:00
Pick up: 19| Drop off: 68| Hour/Min/Sec: 0:27:00
Pick up: 47| Drop off: 154| Hour/Min/Sec: 0:27:00
Pick up: 0| Drop off: 21| Hour/Min/Sec: 0:27:00
Pick up: 159| Drop off: 176| Hour/Min/Sec: 0:27:00
Pick up: 47| Drop off: 104| Hour/Min/Sec: 0:29:00
Pick up: 74| Drop off: 56| Hour/Min/Sec: 0:30:00
Pick up: 185| Drop off: 65| Hour/Min/Sec: 0:30:00
Pick up: 141| Drop off: 100| Hour/Min/Sec: 0:30:00
Pick up: 93| Drop off: 45| Hour/Min/Sec: 0:31:00
Pick up: 47| Drop off: 32| Hour/Min/Sec: 0:31:00
Pick up: 123| Drop off: 38| Hour/Min/Sec: 0:32:00
